Site;Dataset;Date;Year;Month;Day;sampleNumber;Ephemeroptera Species Richness;Plecoptera Species Richness;Total Species Richness
Skranglehaugen;B;2015-08-10;2015;8;10;x;1;3;4
Skranglehaugen;B;2015-09-09;2015;9;9;x;1;3;4
Skranglehaugen;B;2016-05-19;2016;5;19;x;1;6;7
Skranglehaugen;B;2016-07-01;2016;7;1;x;1;4;5
Skranglehaugen;B;2016-09-07;2016;9;7;x;1;3;4
Skranglehaugen;B;2017-06-02;2017;6;2;x;1;7;8
Skranglehaugen;B;2017-08-15;2017;8;15;x;1;4;5
Skranglehaugen;B;2017-09-14;2017;9;14;x;1;3;4
Skranglehaugen;B;2018-06-08;2018;6;8;x;1;5;6
Skranglehaugen;B;2018-08-15;2018;8;15;x;1;2;3
Skranglehaugen;B;2018-09-05;2018;9;5;x;1;4;5
Skranglehaugen;B;2019-05-07;2019;5;7;x;5;2;7
Skranglehaugen;B;2019-06-29;2019;6;29;x;3;4;7
Skranglehaugen;B;2019-08-31;2019;8;31;x;3;2;5
Skranglehaugen;B;2020-06-01;2020;6;1;x;5;2;7
Skranglehaugen;B;2020-07-13;2020;7;13;x;8;6;14
Skranglehaugen;B;2020-09-07;2020;9;7;x;3;5;8
Dørålseter;A;1986-8-28;1986;8;28;1;0;0;0
Dørålseter;A;1989-7-8;1989;7;8;1;1;0;1
Dørålseter;A;1989-7-8;1989;7;8;2;0;0;0
Dørålseter;A;1989-7-8;1989;7;8;3;0;1;1
Dørålseter;A;1990-8-14;1990;8;14;1;2;1;3
Dørålseter;A;1990-8-14;1990;8;14;2;2;2;4
Dørålseter;A;1990-8-14;1990;8;14;3;0;4;4
Dørålseter;A;1990-8-14;1990;8;14;4;0;1;1
Dørålseter;A;1990-8-14;1990;8;14;5;0;1;1
Dørålseter;A;1991-7-13;1991;7;13;1;1;2;3
Dørålseter;A;1991-7-13;1991;7;13;2;1;3;4
Dørålseter;A;1991-7-13;1991;7;13;3;2;1;3
Dørålseter;A;1991-7-13;1991;7;13;4;0;1;1
Dørålseter;A;1991-7-13;1991;7;13;5;1;3;4
Dørålseter;A;1991-8-4;1991;8;4;1;0;3;3
Dørålseter;A;1991-8-4;1991;8;4;2;0;2;2
Dørålseter;A;1991-8-4;1991;8;4;3;0;3;3
Dørålseter;A;1991-8-4;1991;8;4;4;0;0;0
Dørålseter;A;1991-8-4;1991;8;4;5;0;1;1
Dørålseter;A;1991-9-25;1991;9;25;1;1;3;4
Dørålseter;A;1991-9-25;1991;9;25;2;1;7;8
Dørålseter;A;1991-9-25;1991;9;25;3;2;4;6
Dørålseter;A;1991-9-25;1991;9;25;4;0;2;2
Dørålseter;A;1991-9-25;1991;9;25;5;0;4;4
Dørålseter;A;1992-7-15;1992;7;15;1;2;1;3
Dørålseter;A;1992-7-15;1992;7;15;2;0;1;1
Dørålseter;A;1992-7-15;1992;7;15;3;0;1;1
Dørålseter;A;1992-7-15;1992;7;15;4;0;1;1
Dørålseter;A;1992-7-15;1992;7;15;5;0;0;0
Dørålseter;A;1992-8-20;1992;8;20;1;1;0;1
Dørålseter;A;1992-8-20;1992;8;20;2;0;0;0
Dørålseter;A;1992-8-20;1992;8;20;3;4;1;5
Dørålseter;A;1992-8-20;1992;8;20;4;1;0;1
Dørålseter;A;1992-8-20;1992;8;20;5;1;1;2
Dørålseter;A;1993-7-8;1993;7;8;1;1;3;4
Dørålseter;A;1993-7-8;1993;7;8;2;0;2;2
Dørålseter;A;1993-7-8;1993;7;8;3;1;3;4
Dørålseter;A;1993-7-8;1993;7;8;4;0;2;2
Dørålseter;A;1993-7-8;1993;7;8;5;1;1;2
Dørålseter;A;1994-6-22;1994;6;22;1;1;2;3
Dørålseter;A;1994-6-22;1994;6;22;2;0;0;0
Dørålseter;A;1994-6-22;1994;6;22;3;0;3;3
Dørålseter;A;1994-6-22;1994;6;22;4;0;2;2
Dørålseter;A;1994-6-22;1994;6;22;5;0;3;3
Dørålseter;A;1994-7-21;1994;7;21;1;0;0;0
Dørålseter;A;1994-7-21;1994;7;21;2;0;1;1
Dørålseter;A;1994-7-21;1994;7;21;3;0;0;0
Dørålseter;A;1994-7-21;1994;7;21;4;0;0;0
Dørålseter;A;1994-7-21;1994;7;21;5;0;0;0
Dørålseter;A;1994-8-26;1994;8;26;1;2;0;2
Dørålseter;A;1994-8-26;1994;8;26;2;0;3;3
Dørålseter;A;1994-8-26;1994;8;26;3;0;2;2
Dørålseter;A;1994-8-26;1994;8;26;4;0;1;1
Dørålseter;A;1994-8-26;1994;8;26;5;0;1;1
Dørålseter;A;1994-10-7;1994;10;7;1;0;0;0
Dørålseter;A;1994-10-7;1994;10;7;2;0;1;1
Dørålseter;A;1994-10-7;1994;10;7;3;0;1;1
Dørålseter;A;1994-10-7;1994;10;7;4;0;2;2
Dørålseter;A;1994-10-7;1994;10;7;5;1;1;2
Dørålseter;A;1995-8-8;1995;8;8;1;0;1;1
Dørålseter;A;1995-8-8;1995;8;8;2;0;0;0
Dørålseter;A;1995-8-8;1995;8;8;3;0;0;0
Dørålseter;A;1995-8-8;1995;8;8;4;0;1;1
Dørålseter;A;1995-8-8;1995;8;8;5;0;0;0
Dørålseter;A;1997-6-19;1997;6;19;1;0;1;1
Dørålseter;A;1997-6-19;1997;6;19;2;0;0;0
Dørålseter;A;1997-6-19;1997;6;19;3;0;1;1
Dørålseter;A;1997-6-19;1997;6;19;4;0;0;0
Dørålseter;A;1997-6-19;1997;6;19;5;0;0;0
Dørålseter;A;1997-7-18;1997;7;18;1;0;1;1
Dørålseter;A;1997-7-18;1997;7;18;2;0;0;0
Dørålseter;A;1997-7-18;1997;7;18;3;0;0;0
Dørålseter;A;1997-7-18;1997;7;18;4;0;1;1
Dørålseter;A;1997-7-18;1997;7;18;5;0;0;0
Dørålseter;A;1997-8-14;1997;8;14;1;0;1;1
Dørålseter;A;1997-8-14;1997;8;14;2;0;0;0
Dørålseter;A;1997-8-14;1997;8;14;3;0;0;0
Dørålseter;A;1997-8-14;1997;8;14;4;0;0;0
Dørålseter;A;1997-8-14;1997;8;14;5;0;1;1
Dørålseter;A;1998-7-11;1998;7;11;1;0;1;1
Dørålseter;A;1998-7-11;1998;7;11;2;0;0;0
Dørålseter;A;1998-7-11;1998;7;11;3;0;0;0
Dørålseter;A;1998-7-11;1998;7;11;4;0;0;0
Dørålseter;A;1998-7-11;1998;7;11;5;0;0;0
Dørålseter;A;1998-8-8;1998;8;8;1;0;0;0
Dørålseter;A;1998-8-8;1998;8;8;2;0;1;1
Dørålseter;A;1998-8-8;1998;8;8;3;0;0;0
Dørålseter;A;1998-8-8;1998;8;8;4;0;0;0
Dørålseter;A;1998-8-8;1998;8;8;5;0;3;3
Dørålseter;A;1998-9-6;1998;9;6;1;0;1;1
Dørålseter;A;1998-9-6;1998;9;6;2;0;0;0
Dørålseter;A;1998-9-6;1998;9;6;3;0;1;1
Dørålseter;A;1998-9-6;1998;9;6;4;0;0;0
Dørålseter;A;1998-9-6;1998;9;6;5;0;1;1
Dørålseter;A;1999-7-13;1999;7;13;1;0;2;2
Dørålseter;A;1999-7-13;1999;7;13;2;1;3;4
Dørålseter;A;1999-7-13;1999;7;13;3;0;4;4
Dørålseter;A;1999-7-13;1999;7;13;4;0;3;3
Dørålseter;A;1999-7-13;1999;7;13;5;1;2;3
Dørålseter;A;1999-8-7;1999;8;7;1;0;5;5
Dørålseter;A;1999-8-7;1999;8;7;2;0;2;2
Dørålseter;A;1999-8-7;1999;8;7;3;0;1;1
Dørålseter;A;1999-8-7;1999;8;7;4;0;3;3
Dørålseter;A;1999-8-7;1999;8;7;5;0;2;2
Dørålseter;A;1999-9-7;1999;9;7;1;1;3;4
Dørålseter;A;2000-6-27;2000;6;27;1;0;2;2
Dørålseter;A;2000-6-27;2000;6;27;2;0;2;2
Dørålseter;A;2000-6-27;2000;6;27;3;0;4;4
Dørålseter;A;2000-6-27;2000;6;27;4;0;4;4
Dørålseter;A;2000-6-27;2000;6;27;5;0;1;1
Dørålseter;A;2000-9-7;2000;9;7;1;1;1;2
Dørålseter;A;2000-9-7;2000;9;7;2;1;4;5
Dørålseter;A;2000-9-7;2000;9;7;3;1;3;4
Dørålseter;A;2000-9-7;2000;9;7;4;0;2;2
Dørålseter;A;2000-9-7;2000;9;7;5;0;3;3
Dørålseter;A;2001-6-21;2001;6;21;1;0;4;4
Dørålseter;A;2001-6-21;2001;6;21;2;0;2;2
Dørålseter;A;2001-6-21;2001;6;21;3;0;3;3
Dørålseter;A;2001-6-21;2001;6;21;4;0;3;3
Dørålseter;A;2001-6-21;2001;6;21;5;1;2;3
Dørålseter;A;2001-9-12;2001;9;12;1;1;5;6
Dørålseter;A;2001-9-12;2001;9;12;2;0;3;3
Dørålseter;A;2001-9-12;2001;9;12;3;0;4;4
Dørålseter;A;2001-9-12;2001;9;12;4;1;3;4
Dørålseter;A;2001-9-12;2001;9;12;5;0;1;1
Dørålseter;A;2002-7-15;2002;7;15;1;0;3;3
Dørålseter;A;2002-7-15;2002;7;15;2;0;1;1
Dørålseter;A;2002-7-15;2002;7;15;3;0;0;0
Dørålseter;A;2002-7-15;2002;7;15;4;0;1;1
Dørålseter;A;2002-7-15;2002;7;15;5;0;2;2
Dørålseter;A;2002-9-23;2002;9;23;1;1;4;5
Dørålseter;A;2002-9-23;2002;9;23;2;1;3;4
Dørålseter;A;2002-9-23;2002;9;23;3;1;2;3
Dørålseter;A;2002-9-23;2002;9;23;4;1;2;3
Dørålseter;A;2002-9-23;2002;9;23;5;1;4;5
Dørålseter;B;2003-06-26;2003;6;26;x;2;8;10
Dørålseter;B;2003-07-20;2003;7;20;x;1;6;7
Dørålseter;B;2003-09-03;2003;9;3;x;1;4;5
Dørålseter;B;2003-09-30;2003;9;30;x;1;5;6
Dørålseter;B;2004-06-08;2004;6;8;x;1;7;8
Dørålseter;B;2004-07-07;2004;7;7;x;1;6;7
Dørålseter;B;2004-08-05;2004;8;5;x;2;9;11
Dørålseter;B;2004-09-28;2004;9;28;x;1;6;7
Dørålseter;B;2005-07-04;2005;7;4;x;1;5;6
Dørålseter;B;2005-07-25;2005;7;25;x;1;7;8
Dørålseter;B;2005-08-18;2005;8;18;x;1;8;9
Dørålseter;B;2005-10-20;2005;10;20;x;1;5;6
Dørålseter;B;2006-06-22;2006;6;22;x;1;8;9
Dørålseter;B;2006-07-13;2006;7;13;x;1;6;7
Dørålseter;B;2006-08-08;2006;8;8;x;1;8;9
Dørålseter;B;2006-09-01;2006;9;1;x;1;7;8
Dørålseter;B;2007-06-13;2007;6;13;x;1;6;7
Dørålseter;B;2007-07-17;2007;7;17;x;1;6;7
Dørålseter;B;2007-08-20;2007;8;20;x;1;7;8
Dørålseter;B;2007-10-03;2007;10;3;x;1;3;4
Dørålseter;B;2008-06-16;2008;6;16;x;1;7;8
Dørålseter;B;2008-07-18;2008;7;18;x;1;5;6
Dørålseter;B;2008-08-23;2008;8;23;x;1;2;3
Dørålseter;B;2008-09-14;2008;9;14;x;1;5;6
Dørålseter;B;2009-06-16;2009;6;16;x;1;9;10
Dørålseter;B;2009-07-15;2009;7;15;x;1;5;6
Dørålseter;B;2009-08-13;2009;8;13;x;1;7;8
Dørålseter;B;2009-09-14;2009;9;14;x;1;3;4
Dørålseter;B;2010-06-21;2010;6;21;x;1;7;8
Dørålseter;B;2010-07-23;2010;7;23;x;1;3;4
Dørålseter;B;2010-08-16;2010;8;16;x;1;7;8
Dørålseter;B;2010-09-14;2010;9;14;x;1;5;6
Dørålseter;B;2011-06-20;2011;6;20;x;1;10;11
Dørålseter;B;2011-07-17;2011;7;17;x;1;8;9
Dørålseter;B;2011-08-22;2011;8;22;x;1;6;7
Dørålseter;B;2011-09-17;2011;9;17;x;1;5;6
Dørålseter;B;2012-06-06;2012;6;6;x;1;5;6
Dørålseter;B;2012-08-15;2012;8;15;x;1;1;2
Dørålseter;B;2012-09-13;2012;9;13;x;1;6;7
Dørålseter;B;2013-06-10;2013;6;10;x;0;6;6
Dørålseter;B;2013-08-10;2013;8;10;x;1;2;3
Dørålseter;B;2013-09-08;2013;9;8;x;2;4;6
Dørålseter;B;2014-06-18;2014;6;18;x;5;2;7
Dørålseter;B;2014-08-14;2014;8;14;x;1;5;6
Dørålseter;B;2014-09-11;2014;9;11;x;1;3;4
Dørålseter;B;2015-06-22;2015;6;22;x;1;6;7
Dørålseter;B;2015-08-10;2015;8;10;x;1;5;6
Dørålseter;B;2015-09-09;2015;9;9;x;1;6;7
Dørålseter;B;2016-05-19;2016;5;19;x;2;6;8
Dørålseter;B;2016-07-01;2016;7;1;x;2;2;4
Dørålseter;B;2016-09-07;2016;9;7;x;1;3;4
Dørålseter;B;2017-06-02;2017;6;2;x;1;5;6
Dørålseter;B;2017-08-15;2017;8;15;x;1;5;6
Dørålseter;B;2017-09-14;2017;9;14;x;1;7;8
Dørålseter;B;2018-06-08;2018;6;8;x;1;4;5
Dørålseter;B;2018-08-15;2018;8;15;x;1;4;5
Dørålseter;B;2018-09-05;2018;9;5;x;1;3;4
Dørålseter;B;2019-05-07;2019;5;7;x;2;2;4
Dørålseter;B;2019-06-29;2019;6;29;x;2;6;8
Dørålseter;B;2019-08-31;2019;8;31;x;1;2;3
Dørålseter;B;2020-06-01;2020;6;1;x;4;4;8
Dørålseter;B;2020-07-13;2020;7;13;x;6;4;10
Dørålseter;B;2020-09-07;2020;9;7;x;4;4;8
Vollen;A;1986-6-18;1986;6;18;1;1;0;1
Vollen;A;1986-6-18;1986;6;18;2;1;0;1
Vollen;A;1986-6-18;1986;6;18;3;2;0;2
Vollen;A;1986-6-18;1986;6;18;4;1;0;1
Vollen;A;1986-6-18;1986;6;18;5;1;0;1
Vollen;A;1986-7-18;1986;7;18;1;1;0;1
Vollen;A;1986-7-18;1986;7;18;2;1;0;1
Vollen;A;1986-7-18;1986;7;18;3;1;0;1
Vollen;A;1986-7-18;1986;7;18;4;1;0;1
Vollen;A;1986-7-18;1986;7;18;5;1;0;1
Vollen;A;1986-8-28;1986;8;28;1;1;0;1
Vollen;A;1986-8-28;1986;8;28;2;1;0;1
Vollen;A;1986-8-28;1986;8;28;3;1;0;1
Vollen;A;1986-8-28;1986;8;28;4;1;0;1
Vollen;A;1986-8-28;1986;8;28;5;1;0;1
Vollen;A;1987-6-11;1987;6;11;1;2;0;2
Vollen;A;1987-6-11;1987;6;11;2;1;0;1
Vollen;A;1987-6-11;1987;6;11;3;0;0;0
Vollen;A;1987-6-11;1987;6;11;4;1;0;1
Vollen;A;1987-6-11;1987;6;11;5;1;2;3
Vollen;A;1987-7-14;1987;7;14;1;2;0;2
Vollen;A;1987-7-14;1987;7;14;2;3;0;3
Vollen;A;1987-7-14;1987;7;14;3;2;0;2
Vollen;A;1987-7-14;1987;7;14;4;2;2;4
Vollen;A;1987-7-14;1987;7;14;5;1;0;1
Vollen;A;1987-8-5;1987;8;5;1;1;1;2
Vollen;A;1987-8-5;1987;8;5;2;2;1;3
Vollen;A;1987-8-5;1987;8;5;3;2;1;3
Vollen;A;1987-8-5;1987;8;5;4;1;0;1
Vollen;A;1987-8-5;1987;8;5;5;2;1;3
Vollen;A;1987-9-2;1987;9;2;1;2;4;6
Vollen;A;1987-9-2;1987;9;2;2;2;2;4
Vollen;A;1987-9-2;1987;9;2;3;2;2;4
Vollen;A;1987-9-2;1987;9;2;4;2;2;4
Vollen;A;1987-9-2;1987;9;2;5;2;4;6
Vollen;A;1987-9-25;1987;9;25;1;2;2;4
Vollen;A;1987-9-25;1987;9;25;2;2;2;4
Vollen;A;1987-9-25;1987;9;25;3;2;2;4
Vollen;A;1987-9-25;1987;9;25;4;2;2;4
Vollen;A;1987-9-25;1987;9;25;5;2;2;4
Vollen;A;1988-6-9;1988;6;9;1;1;0;1
Vollen;A;1988-6-9;1988;6;9;2;1;1;2
Vollen;A;1988-6-9;1988;6;9;3;1;0;1
Vollen;A;1988-6-9;1988;6;9;4;1;0;1
Vollen;A;1988-6-9;1988;6;9;5;1;0;1
Vollen;A;1988-6-29;1988;6;29;1;1;0;1
Vollen;A;1988-6-29;1988;6;29;2;1;0;1
Vollen;A;1988-6-29;1988;6;29;3;1;0;1
Vollen;A;1988-6-29;1988;6;29;4;1;1;2
Vollen;A;1988-6-29;1988;6;29;5;1;0;1
Vollen;A;1988-8-1;1988;8;1;1;2;2;4
Vollen;A;1988-8-1;1988;8;1;2;2;2;4
Vollen;A;1988-8-1;1988;8;1;3;0;0;0
Vollen;A;1988-8-25;1988;8;25;1;2;1;3
Vollen;A;1988-8-25;1988;8;25;2;2;0;2
Vollen;A;1988-8-25;1988;8;25;3;2;1;3
Vollen;A;1988-8-25;1988;8;25;4;2;2;4
Vollen;A;1988-8-25;1988;8;25;5;2;0;2
Vollen;A;1989-7-8;1989;7;8;1;1;1;2
Vollen;A;1989-7-8;1989;7;8;2;1;0;1
Vollen;A;1989-7-8;1989;7;8;3;2;3;5
Vollen;A;1990-7-10;1990;7;10;1;1;0;1
Vollen;A;1990-7-10;1990;7;10;2;1;2;3
Vollen;A;1990-7-10;1990;7;10;3;1;0;1
Vollen;A;1990-7-10;1990;7;10;4;1;0;1
Vollen;A;1990-7-10;1990;7;10;5;1;2;3
Vollen;A;1990-8-14;1990;8;14;1;2;3;5
Vollen;A;1990-8-14;1990;8;14;2;0;6;6
Vollen;A;1990-8-14;1990;8;14;3;0;3;3
Vollen;A;1990-8-14;1990;8;14;4;1;3;4
Vollen;A;1990-8-14;1990;8;14;5;1;2;3
Vollen;A;1991-6-5;1991;6;5;1;2;1;3
Vollen;A;1991-6-5;1991;6;5;2;2;1;3
Vollen;A;1991-6-5;1991;6;5;4;2;3;5
Vollen;A;1991-6-5;1991;6;5;5;2;2;4
Vollen;A;1991-7-13;1991;7;13;1;3;2;5
Vollen;A;1991-7-13;1991;7;13;2;2;4;6
Vollen;A;1991-7-13;1991;7;13;3;2;3;5
Vollen;A;1991-7-13;1991;7;13;4;1;3;4
Vollen;A;1991-7-13;1991;7;13;5;1;2;3
Vollen;A;1991-8-4;1991;8;4;1;1;3;4
Vollen;A;1991-8-4;1991;8;4;2;3;4;7
Vollen;A;1991-8-4;1991;8;4;3;3;2;5
Vollen;A;1991-8-4;1991;8;4;4;2;2;4
Vollen;A;1991-8-4;1991;8;4;5;2;3;5
Vollen;A;1991-9-25;1991;9;25;1;3;4;7
Vollen;A;1991-9-25;1991;9;25;2;1;6;7
Vollen;A;1991-9-25;1991;9;25;3;0;6;6
Vollen;A;1991-9-25;1991;9;25;4;4;3;7
Vollen;A;1991-9-25;1991;9;25;5;3;5;8
Vollen;A;1992-5-29;1992;5;29;1;2;3;5
Vollen;A;1992-5-29;1992;5;29;2;2;1;3
Vollen;A;1992-5-29;1992;5;29;3;2;4;6
Vollen;A;1992-5-29;1992;5;29;4;2;1;3
Vollen;A;1992-7-15;1992;7;15;1;3;4;7
Vollen;A;1992-7-15;1992;7;15;3;3;2;5
Vollen;A;1992-7-15;1992;7;15;4;3;2;5
Vollen;A;1992-7-15;1992;7;15;5;4;1;5
Vollen;A;1992-8-20;1992;8;20;1;3;3;6
Vollen;A;1992-8-20;1992;8;20;2;3;3;6
Vollen;A;1992-8-20;1992;8;20;3;2;4;6
Vollen;A;1992-8-20;1992;8;20;4;2;5;7
Vollen;A;1992-8-20;1992;8;20;5;2;4;6
Vollen;A;1993-5-28;1993;5;28;1;1;5;6
Vollen;A;1993-5-28;1993;5;28;2;1;3;4
Vollen;A;1993-5-28;1993;5;28;3;1;2;3
Vollen;A;1993-5-28;1993;5;28;4;2;5;7
Vollen;A;1993-5-28;1993;5;28;5;1;6;7
Vollen;A;1993-7-8;1993;7;8;1;0;1;1
Vollen;A;1993-7-8;1993;7;8;2;1;0;1
Vollen;A;1993-7-8;1993;7;8;3;2;2;4
Vollen;A;1993-7-8;1993;7;8;4;1;3;4
Vollen;A;1993-7-8;1993;7;8;5;2;5;7
Vollen;A;1994-6-22;1994;6;22;1;1;1;2
Vollen;A;1994-6-22;1994;6;22;2;2;1;3
Vollen;A;1994-6-22;1994;6;22;3;2;1;3
Vollen;A;1994-6-22;1994;6;22;4;1;1;2
Vollen;A;1994-6-22;1994;6;22;5;1;1;2
Vollen;A;1994-7-21;1994;7;21;1;1;1;2
Vollen;A;1994-7-21;1994;7;21;2;1;1;2
Vollen;A;1994-7-21;1994;7;21;3;1;1;2
Vollen;A;1994-7-21;1994;7;21;4;1;1;2
Vollen;A;1994-7-21;1994;7;21;5;1;0;1
Vollen;A;1994-8-26;1994;8;26;1;1;1;2
Vollen;A;1994-8-26;1994;8;26;2;1;0;1
Vollen;A;1994-8-26;1994;8;26;3;1;1;2
Vollen;A;1994-8-26;1994;8;26;4;1;2;3
Vollen;A;1994-8-26;1994;8;26;5;3;1;4
Vollen;A;1994-10-7;1994;10;7;1;1;2;3
Vollen;A;1994-10-7;1994;10;7;2;1;2;3
Vollen;A;1994-10-7;1994;10;7;3;1;2;3
Vollen;A;1994-10-7;1994;10;7;4;1;3;4
Vollen;A;1994-10-7;1994;10;7;5;1;2;3
Vollen;A;1995-8-8;1995;8;8;1;0;1;1
Vollen;A;1995-8-8;1995;8;8;2;1;0;1
Vollen;A;1995-8-8;1995;8;8;3;1;1;2
Vollen;A;1995-8-8;1995;8;8;4;1;1;2
Vollen;A;1995-8-8;1995;8;8;5;1;1;2
