Navn;Stasjon;Tid(norsk normaltid);Homogenisert middeltemperatur (mnd);Homogenisert middeltemperatur, avvik fra normalen 19611990 (mnd)
Trondheim - Tyholt;SN68170;jul.33;15;1,8
Trondheim - Tyholt;SN68170;aug.33;12,6;0,4
Trondheim - Tyholt;SN68170;sep.33;10,7;1,4
Trondheim - Tyholt;SN68170;okt.33;5,2;0,6
Trondheim - Tyholt;SN68170;nov.33;-1,2;2
Trondheim - Tyholt;SN68170;des.33;-0,1;1,4
Trondheim - Tyholt;SN68170;jan.34;2;5,1
Trondheim - Tyholt;SN68170;feb.34;0,8;3,3
Trondheim - Tyholt;SN68170;mar.34;0,7;0,6
Trondheim - Tyholt;SN68170;apr.34;3,2;0
Trondheim - Tyholt;SN68170;mai.34;8,7;0
Trondheim - Tyholt;SN68170;jun.34;11;1
Trondheim - Tyholt;SN68170;jul.34;15,4;2,2
Trondheim - Tyholt;SN68170;aug.34;15,5;2,5
Trondheim - Tyholt;SN68170;sep.34;12,6;3,3
Trondheim - Tyholt;SN68170;okt.34;6;0,2
Trondheim - Tyholt;SN68170;nov.34;1,3;0,5
Trondheim - Tyholt;SN68170;des.34;0,5;2
Trondheim - Tyholt;SN68170;jan.35;-2,6;0,5
Trondheim - Tyholt;SN68170;feb.35;-0,8;1,7
Trondheim - Tyholt;SN68170;mar.35;-1,9;2
Trondheim - Tyholt;SN68170;apr.35;2,6;0,6
Trondheim - Tyholt;SN68170;mai.35;5,1;3,6
Trondheim - Tyholt;SN68170;jun.35;12,1;0,1
Trondheim - Tyholt;SN68170;jul.35;12,5;0,7
Trondheim - Tyholt;SN68170;aug.35;13,2;0,2
Trondheim - Tyholt;SN68170;sep.35;8,7;0,6
Trondheim - Tyholt;SN68170;okt.35;4,8;1
Trondheim - Tyholt;SN68170;nov.35;3,8;3
Trondheim - Tyholt;SN68170;des.35;-0,5;1
Trondheim - Tyholt;SN68170;jan.36;-2,4;0,7
Trondheim - Tyholt;SN68170;feb.36;-4;1,5
Trondheim - Tyholt;SN68170;mar.36;0,1;0
Trondheim - Tyholt;SN68170;apr.36;2,1;1,1
Trondheim - Tyholt;SN68170;mai.36;9,2;0,5
Trondheim - Tyholt;SN68170;jun.36;13,6;1,6
Trondheim - Tyholt;SN68170;jul.36;15,6;2,4
Trondheim - Tyholt;SN68170;aug.36;13,1;0,1
Trondheim - Tyholt;SN68170;sep.36;8,9;0,4
Trondheim - Tyholt;SN68170;okt.36;4,1;1,7
Trondheim - Tyholt;SN68170;nov.36;2,1;1,3
Trondheim - Tyholt;SN68170;des.36;2;3,5
Trondheim - Tyholt;SN68170;jan.37;-1,7;1,4
Trondheim - Tyholt;SN68170;feb.37;-5;2,5
Trondheim - Tyholt;SN68170;mar.37;-2,4;2,5
Trondheim - Tyholt;SN68170;apr.37;6,7;3,5
Trondheim - Tyholt;SN68170;mai.37;10,5;1,8
Trondheim - Tyholt;SN68170;jun.37;12,2;0,2
Trondheim - Tyholt;SN68170;jul.37;16,9;3,7
Trondheim - Tyholt;SN68170;aug.37;16,2;3,2
Trondheim - Tyholt;SN68170;sep.37;9,9;0,6
Trondheim - Tyholt;SN68170;okt.37;7,6;1,8
Trondheim - Tyholt;SN68170;nov.37;0;0,8
Trondheim - Tyholt;SN68170;des.37;-4,5;3
