Navn;Stasjon;Tid(norsk normaltid);Homogenisert middeltemperatur (mnd);Homogenisert middeltemperatur, avvik fra normalen 19611990 (mnd)
Verdal - Sul;SN70340;apr.35;1,1;0,1
Verdal - Sul;SN70340;mai.35;3,7;3,5
Verdal - Sul;SN70340;jun.35;11,1;0,3
Verdal - Sul;SN70340;jul.35;12,1;0,5
Verdal - Sul;SN70340;aug.35;11,7;0
Verdal - Sul;SN70340;sep.35;7;0,5
Verdal - Sul;SN70340;okt.35;2,8;1
Verdal - Sul;SN70340;nov.35;1,4;3,5
Verdal - Sul;SN70340;des.35;-2;2,6
Verdal - Sul;SN70340;jan.36;-6;0,7
Verdal - Sul;SN70340;feb.36;-7,6;1,5
Verdal - Sul;SN70340;mar.36;-2,4;0,4
Verdal - Sul;SN70340;apr.36;0,9;0,3
Verdal - Sul;SN70340;mai.36;7,5;0,3
Verdal - Sul;SN70340;jun.36;13;1,6
Verdal - Sul;SN70340;jul.36;15;2,4
Verdal - Sul;SN70340;aug.36;12,5;0,8
Verdal - Sul;SN70340;sep.36;7;0,5
Verdal - Sul;SN70340;okt.36;2,3;1,5
Verdal - Sul;SN70340;nov.36;-0,4;1,7
Verdal - Sul;SN70340;des.36;0,3;4,9
Verdal - Sul;SN70340;jan.37;-4,2;2,5
Verdal - Sul;SN70340;feb.37;-9,3;3,2
Verdal - Sul;SN70340;mar.37;-5,3;2,5
Verdal - Sul;SN70340;apr.37;4,6;3,4
Verdal - Sul;SN70340;mai.37;9,6;2,4
Verdal - Sul;SN70340;jun.37;11,6;0,2
Verdal - Sul;SN70340;jul.37;17,2;4,6
Verdal - Sul;SN70340;aug.37;15;3,3
Verdal - Sul;SN70340;sep.37;8,2;0,7
Verdal - Sul;SN70340;okt.37;6,3;2,5
Verdal - Sul;SN70340;nov.37;-1;1,1
Verdal - Sul;SN70340;des.37;-7,1;2,5
Verdal - Sul;SN70340;jan.38;-3,2;3,5
Verdal - Sul;SN70340;feb.38;-0,2;5,9
Verdal - Sul;SN70340;mar.38;1,3;4,1
Verdal - Sul;SN70340;apr.38;1,6;0,4
Verdal - Sul;SN70340;mai.38;6;1,2
Verdal - Sul;SN70340;jun.38;9,6;1,8
Verdal - Sul;SN70340;jul.38;15,6;3
Verdal - Sul;SN70340;aug.38;13,2;1,5
Verdal - Sul;SN70340;sep.38;9;1,5
Verdal - Sul;SN70340;okt.38;5,4;1,6
Verdal - Sul;SN70340;nov.38;2,3;4,4
Verdal - Sul;SN70340;des.38;-3,3;1,3
Verdal - Sul;SN70340;jan.39;-5,2;1,5
Verdal - Sul;SN70340;feb.39;0,5;6,6
Verdal - Sul;SN70340;mar.39;-2,6;0,2
Verdal - Sul;SN70340;apr.39;1,1;0,1
Verdal - Sul;SN70340;mai.39;5,2;2
Verdal - Sul;SN70340;jun.39;10,1;1,3
Verdal - Sul;SN70340;jul.39;14,3;1,7
Verdal - Sul;SN70340;aug.39;14,5;2,8
Verdal - Sul;SN70340;sep.39;8;0,5
Verdal - Sul;SN70340;okt.39;1,8;2
Verdal - Sul;SN70340;nov.39;-0,6;1,5
Verdal - Sul;SN70340;des.39;-7,7;3,1
Verdal - Sul;SN70340;jan.40;-10,8;4,1
Verdal - Sul;SN70340;feb.40;-13,3;7,2
Verdal - Sul;SN70340;mar.40;-6,8;4
Verdal - Sul;SN70340;apr.40;0,4;0,8
Verdal - Sul;SN70340;mai.40;8,3;1,1
Verdal - Sul;SN70340;jun.40;11,5;0,1
Verdal - Sul;SN70340;jul.40;12,8;0,2
Verdal - Sul;SN70340;aug.40;10,4;1,3
Verdal - Sul;SN70340;sep.40;6,8;0,7
Verdal - Sul;SN70340;okt.40;3,3;0,5
Verdal - Sul;SN70340;nov.40;-1,1;1
Verdal - Sul;SN70340;des.40;-5,4;0,8
Verdal - Sul;SN70340;jan.41;-12,3;5,6
Verdal - Sul;SN70340;feb.41;-8,8;2,7
Verdal - Sul;SN70340;mar.41;-4,6;1,8
Verdal - Sul;SN70340;apr.41;0;1,2
Verdal - Sul;SN70340;mai.41;4,6;2,6
Verdal - Sul;SN70340;jun.41;10;1,4
Verdal - Sul;SN70340;jul.41;16,7;4,1
Verdal - Sul;SN70340;aug.41;11,7;0
Verdal - Sul;SN70340;sep.41;7,9;0,4
Verdal - Sul;SN70340;okt.41;1,4;2,4
Verdal - Sul;SN70340;nov.41;-2,3;0,2
Verdal - Sul;SN70340;des.41;-6,1;1,5
Verdal - Sul;SN70340;jan.42;-13;6,3
Verdal - Sul;SN70340;feb.42;-9,4;3,3
Verdal - Sul;SN70340;mar.42;-7,6;4,8
Verdal - Sul;SN70340;apr.42;2,1;0,9
Verdal - Sul;SN70340;mai.42;5,3;1,9
Verdal - Sul;SN70340;jun.42;9,3;2,1
Verdal - Sul;SN70340;jul.42;11,6;1
Verdal - Sul;SN70340;aug.42;12,3;0,6
Verdal - Sul;SN70340;sep.42;7,7;0,2
Verdal - Sul;SN70340;okt.42;3,2;0,6
Verdal - Sul;SN70340;nov.42;-0,4;1,7
Verdal - Sul;SN70340;des.42;-4,2;0,4
Verdal - Sul;SN70340;jan.43;-7;0,3
Verdal - Sul;SN70340;feb.43;-1,3;4,8
Verdal - Sul;SN70340;mar.43;1,1;3,9
Verdal - Sul;SN70340;apr.43;2,2;1
Verdal - Sul;SN70340;mai.43;6,7;0,5
Verdal - Sul;SN70340;jun.43;11,7;0,3
Verdal - Sul;SN70340;jul.43;12,7;0,1
Verdal - Sul;SN70340;aug.43;11;0,7
Verdal - Sul;SN70340;sep.43;8,2;0,7
Verdal - Sul;SN70340;okt.43;5,3;1,5
Verdal - Sul;SN70340;nov.43;-1,7;0,4
Verdal - Sul;SN70340;des.43;-0,5;4,1
Verdal - Sul;SN70340;jan.44;-3,7;3
Verdal - Sul;SN70340;feb.44;-3,1;3
Verdal - Sul;SN70340;mar.44;-2,9;0,1
Verdal - Sul;SN70340;apr.44;0;1,2
Verdal - Sul;SN70340;mai.44;3,5;3,7
Verdal - Sul;SN70340;jun.44;9,8;1,6
Verdal - Sul;SN70340;jul.44;14,6;2
Verdal - Sul;SN70340;aug.44;12;0,3
Verdal - Sul;SN70340;sep.44;8;0,5
Verdal - Sul;SN70340;okt.44;5;1,2
Verdal - Sul;SN70340;nov.44;-1,9;0,2
Verdal - Sul;SN70340;des.44;-0,9;3,7
Verdal - Sul;SN70340;jan.45;-10,1;3,4
Verdal - Sul;SN70340;feb.45;-3,7;2,4
Verdal - Sul;SN70340;mar.45;0,6;3,4
Verdal - Sul;SN70340;apr.45;2,5;1,3
Verdal - Sul;SN70340;mai.45;6,2;1
Verdal - Sul;SN70340;jun.45;11,1;0,3
Verdal - Sul;SN70340;jul.45;15,1;2,5
Verdal - Sul;SN70340;aug.45;13,6;1,9
Verdal - Sul;SN70340;sep.45;7,3;0,2
Verdal - Sul;SN70340;okt.45;3,1;0,7
Verdal - Sul;SN70340;nov.45;0,2;2,3
Verdal - Sul;SN70340;des.45;-5,1;0,5
Verdal - Sul;SN70340;jan.46;-5,6;1,1
Verdal - Sul;SN70340;feb.46;-9,5;3,4
Verdal - Sul;SN70340;mar.46;-3,3;0,5
Verdal - Sul;SN70340;apr.46;2,2;1
Verdal - Sul;SN70340;mai.46;7,1;0,1
Verdal - Sul;SN70340;jun.46;10,6;0,8
Verdal - Sul;SN70340;jul.46;14,3;1,7
Verdal - Sul;SN70340;aug.46;12,5;0,8
Verdal - Sul;SN70340;sep.46;9,4;1,9
Verdal - Sul;SN70340;okt.46;3,8;0
Verdal - Sul;SN70340;nov.46;0;2,1
Verdal - Sul;SN70340;des.46;-2,4;2,2
Verdal - Sul;SN70340;jan.47;-5,4;1,3
Verdal - Sul;SN70340;feb.47;-11,6;5,5
Verdal - Sul;SN70340;mar.47;-7,3;4,5
Verdal - Sul;SN70340;apr.47;1,5;0,3
Verdal - Sul;SN70340;mai.47;8,2;1
Verdal - Sul;SN70340;jun.47;13;1,6
Verdal - Sul;SN70340;jul.47;14,4;1,8
Verdal - Sul;SN70340;aug.47;13;1,3
Verdal - Sul;SN70340;sep.47;9;1,5
Verdal - Sul;SN70340;okt.47;3,4;0,4
Verdal - Sul;SN70340;nov.47;-4,1;2
Verdal - Sul;SN70340;des.47;-5,6;1
Verdal - Sul;SN70340;jan.48;-10,4;3,7
Verdal - Sul;SN70340;feb.48;-2,9;3,2
Verdal - Sul;SN70340;mar.48;2,1;4,9
Verdal - Sul;SN70340;apr.48;4,4;3,2
Verdal - Sul;SN70340;mai.48;7,2;0
Verdal - Sul;SN70340;jun.48;10,2;1,2
Verdal - Sul;SN70340;jul.48;15,1;2,5
Verdal - Sul;SN70340;aug.48;10;1,7
Verdal - Sul;SN70340;sep.48;8;0,5
Verdal - Sul;SN70340;okt.48;1,6;2,2
Verdal - Sul;SN70340;nov.48;0,1;2,2
Verdal - Sul;SN70340;des.48;0,6;5,2
Verdal - Sul;SN70340;jan.49;-2,8;3,9
Verdal - Sul;SN70340;feb.49;-0,9;5,2
Verdal - Sul;SN70340;mar.49;-3,6;0,8
Verdal - Sul;SN70340;apr.49;2,2;1
Verdal - Sul;SN70340;mai.49;7,9;0,7
Verdal - Sul;SN70340;jun.49;10,5;0,9
Verdal - Sul;SN70340;jul.49;11,5;1,1
Verdal - Sul;SN70340;aug.49;11;0,7
Verdal - Sul;SN70340;sep.49;11,4;3,9
Verdal - Sul;SN70340;okt.49;3,8;0
Verdal - Sul;SN70340;nov.49;0,8;2,9
Verdal - Sul;SN70340;des.49;-3,5;1,1
Verdal - Sul;SN70340;jan.50;-7,3;0,6
Verdal - Sul;SN70340;feb.50;-4;2,1
Verdal - Sul;SN70340;mar.50;-0,6;2,2
Verdal - Sul;SN70340;apr.50;2,6;1,4
Verdal - Sul;SN70340;mai.50;6;1,2
Verdal - Sul;SN70340;jun.50;11;0,4
Verdal - Sul;SN70340;jul.50;12,6;0
Verdal - Sul;SN70340;aug.50;14,7;3
Verdal - Sul;SN70340;sep.50;8,5;1
Verdal - Sul;SN70340;okt.50;4,9;1,1
Verdal - Sul;SN70340;nov.50;-2;0,1
Verdal - Sul;SN70340;des.50;-6,2;1,6
Verdal - Sul;SN70340;jan.51;-9,5;2,8
Verdal - Sul;SN70340;feb.51;-5,2;0,9
Verdal - Sul;SN70340;mar.51;-6,2;3,4
Verdal - Sul;SN70340;apr.51;1,3;0,1
Verdal - Sul;SN70340;mai.51;4,3;2,9
Verdal - Sul;SN70340;jun.51;8,9;2,5
Verdal - Sul;SN70340;jul.51;10,9;1,7
Verdal - Sul;SN70340;aug.51;14,5;2,8
Verdal - Sul;SN70340;sep.51;9,4;1,9
Verdal - Sul;SN70340;okt.51;4,8;1
Verdal - Sul;SN70340;nov.51;-1,3;0,8
Verdal - Sul;SN70340;des.51;-0,7;3,9
Verdal - Sul;SN70340;jan.52;-8,9;2,2
Verdal - Sul;SN70340;feb.52;-5;1,1
Verdal - Sul;SN70340;mar.52;-4,4;1,6
Verdal - Sul;SN70340;apr.52;3,7;2,5
Verdal - Sul;SN70340;mai.52;6,5;0,7
Verdal - Sul;SN70340;jun.52;9,8;1,6
Verdal - Sul;SN70340;jul.52;12;0,6
Verdal - Sul;SN70340;aug.52;10,1;1,6
Verdal - Sul;SN70340;sep.52;4,5;3
Verdal - Sul;SN70340;okt.52;1,4;2,4
Verdal - Sul;SN70340;nov.52;-4,8;2,7
Verdal - Sul;SN70340;des.52;-7,5;2,9
Verdal - Sul;SN70340;jan.53;-4,7;2
Verdal - Sul;SN70340;feb.53;-7,2;1,1
Verdal - Sul;SN70340;mar.53;1,9;4,7
Verdal - Sul;SN70340;apr.53;2,5;1,3
Verdal - Sul;SN70340;mai.53;6,6;0,6
Verdal - Sul;SN70340;jun.53;16,6;5,2
Verdal - Sul;SN70340;jul.53;13,8;1,2
Verdal - Sul;SN70340;aug.53;12,4;0,7
Verdal - Sul;SN70340;sep.53;7,6;0,1
Verdal - Sul;SN70340;okt.53;5,9;2,1
Verdal - Sul;SN70340;nov.53;1,3;3,4
Verdal - Sul;SN70340;des.53;-1,9;2,7
Verdal - Sul;SN70340;jan.54;-7,5;0,8
Verdal - Sul;SN70340;feb.54;-8,8;2,7
Verdal - Sul;SN70340;mar.54;-2,3;0,5
Verdal - Sul;SN70340;apr.54;0,6;0,6
Verdal - Sul;SN70340;mai.54;9,6;2,4
Verdal - Sul;SN70340;jun.54;10,2;1,2
Verdal - Sul;SN70340;jul.54;14,2;1,6
Verdal - Sul;SN70340;aug.54;11,5;0,2
Verdal - Sul;SN70340;sep.54;7,6;0,1
Verdal - Sul;SN70340;okt.54;2,5;1,3
Verdal - Sul;SN70340;nov.54;-1,9;0,2
Verdal - Sul;SN70340;des.54;-1,8;2,8
Verdal - Sul;SN70340;jan.55;-5,9;0,8
Verdal - Sul;SN70340;feb.55;-9,1;3
Verdal - Sul;SN70340;mar.55;-5,7;2,9
Verdal - Sul;SN70340;apr.55;-1;2,2
Verdal - Sul;SN70340;mai.55;3,3;3,9
Verdal - Sul;SN70340;jun.55;8,6;2,8
Verdal - Sul;SN70340;jul.55;14,1;1,5
Verdal - Sul;SN70340;aug.55;13,5;1,8
Verdal - Sul;SN70340;sep.55;9,1;1,6
Verdal - Sul;SN70340;okt.55;1,6;2,2
Verdal - Sul;SN70340;nov.55;-0,3;1,8
Verdal - Sul;SN70340;des.55;-7,7;3,1
Verdal - Sul;SN70340;jan.56;-6,5;0,2
Verdal - Sul;SN70340;feb.56;-8,9;2,8
Verdal - Sul;SN70340;mar.56;-1,9;0,9
Verdal - Sul;SN70340;apr.56;0;1,2
Verdal - Sul;SN70340;mai.56;6,4;0,8
Verdal - Sul;SN70340;jun.56;9,7;1,7
Verdal - Sul;SN70340;jul.56;12,7;0,1
Verdal - Sul;SN70340;aug.56;10;1,7
Verdal - Sul;SN70340;sep.56;7,9;0,4
Verdal - Sul;SN70340;okt.56;3,1;0,7
Verdal - Sul;SN70340;nov.56;-5,6;3,5
Verdal - Sul;SN70340;des.56;-3;1,6
Verdal - Sul;SN70340;jan.57;-2,4;4,3
Verdal - Sul;SN70340;feb.57;-6;0,1
Verdal - Sul;SN70340;mar.57;-3,2;0,4
Verdal - Sul;SN70340;apr.57;1;0,2
Verdal - Sul;SN70340;mai.57;5,2;2
Verdal - Sul;SN70340;jun.57;8,1;3,3
Verdal - Sul;SN70340;jul.57;14,3;1,7
Verdal - Sul;SN70340;sep.57;7,1;0,4
Verdal - Sul;SN70340;okt.57;3,2;0,6
Verdal - Sul;SN70340;nov.57;-0,1;2
Verdal - Sul;SN70340;des.57;-4,3;0,3
Verdal - Sul;SN70340;jan.58;-9,3;2,6
Verdal - Sul;SN70340;feb.58;-11,8;5,7
Verdal - Sul;SN70340;mar.58;-9,8;7
Verdal - Sul;SN70340;apr.58;0,7;0,5
Verdal - Sul;SN70340;mai.58;4,9;2,3
Verdal - Sul;SN70340;jun.58;10,4;1
Verdal - Sul;SN70340;jul.58;11,6;1
Verdal - Sul;SN70340;aug.58;12,7;1
Verdal - Sul;SN70340;sep.58;9,7;2,2
Verdal - Sul;SN70340;okt.58;5,5;1,7
Verdal - Sul;SN70340;nov.58;2,2;4,3
Verdal - Sul;SN70340;des.58;-7;2,4
Verdal - Sul;SN70340;jan.59;-10,6;3,9
Verdal - Sul;SN70340;feb.59;-0,5;5,6
Verdal - Sul;SN70340;mar.59;1,5;4,3
Verdal - Sul;SN70340;apr.59;3;1,8
Verdal - Sul;SN70340;mai.59;6,4;0,8
Verdal - Sul;SN70340;jun.59;11,3;0,1
Verdal - Sul;SN70340;jul.59;13,5;0,9
Verdal - Sul;SN70340;aug.59;12,8;1,1
Verdal - Sul;SN70340;sep.59;7,7;0,2
Verdal - Sul;SN70340;okt.59;4,3;0,5
Verdal - Sul;SN70340;nov.59;1,4;3,5
Verdal - Sul;SN70340;des.59;-3,4;1,2
Verdal - Sul;SN70340;jan.60;-9;2,3
Verdal - Sul;SN70340;feb.60;-8;1,9
Verdal - Sul;SN70340;mar.60;-1,3;1,5
Verdal - Sul;SN70340;apr.60;2,3;1,1
Verdal - Sul;SN70340;mai.60;7,6;0,4
Verdal - Sul;SN70340;jun.60;12,2;0,8
Verdal - Sul;SN70340;jul.60;13,9;1,3
Verdal - Sul;SN70340;aug.60;12,5;0,8
Verdal - Sul;SN70340;sep.60;8,8;1,3
Verdal - Sul;SN70340;okt.60;-1,1;4,9
Verdal - Sul;SN70340;nov.60;-2,2;0,1
Verdal - Sul;SN70340;des.60;-5,9;1,3
Verdal - Sul;SN70340;jan.61;-6,3;0,4
Verdal - Sul;SN70340;feb.61;-2,1;4
Verdal - Sul;SN70340;mar.61;-0,1;2,7
Verdal - Sul;SN70340;apr.61;0,6;0,6
Verdal - Sul;SN70340;mai.61;6,1;1,1
Verdal - Sul;SN70340;jun.61;11,6;0,2
Verdal - Sul;SN70340;jul.61;12,6;0
Verdal - Sul;SN70340;aug.61;10,9;0,8
Verdal - Sul;SN70340;sep.61;9,9;2,4
Verdal - Sul;SN70340;okt.61;7,6;3,8
Verdal - Sul;SN70340;nov.61;1,6;3,7
Verdal - Sul;SN70340;des.61;-5,5;0,9
Verdal - Sul;SN70340;jan.62;-4,8;1,9
Verdal - Sul;SN70340;feb.62;-4,2;1,9
Verdal - Sul;SN70340;mar.62;-7,2;4,4
Verdal - Sul;SN70340;apr.62;1,2;0
Verdal - Sul;SN70340;mai.62;5,2;2
Verdal - Sul;SN70340;jun.62;8,2;3,2
Verdal - Sul;SN70340;jul.62;11,1;1,5
Verdal - Sul;SN70340;aug.62;10,8;0,9
Verdal - Sul;SN70340;sep.62;7,7;0,2
Verdal - Sul;SN70340;okt.62;4,9;1,1
Verdal - Sul;SN70340;nov.62;-2,4;0,3
Verdal - Sul;SN70340;des.62;-4,9;0,3
Verdal - Sul;SN70340;jan.63;-6,8;0,1
Verdal - Sul;SN70340;feb.63;-9,9;3,8
Verdal - Sul;SN70340;mar.63;-5,4;2,6
Verdal - Sul;SN70340;apr.63;2,3;1,1
Verdal - Sul;SN70340;mai.63;9,7;2,5
Verdal - Sul;SN70340;jun.63;11,4;0
Verdal - Sul;SN70340;jul.63;11,5;1,1
Verdal - Sul;SN70340;aug.63;13,7;2
Verdal - Sul;SN70340;sep.63;8,9;1,4
Verdal - Sul;SN70340;okt.63;4,8;1
Verdal - Sul;SN70340;nov.63;-3,2;1,1
Verdal - Sul;SN70340;des.63;-2,5;2,1
Verdal - Sul;SN70340;jan.64;-0,1;6,6
Verdal - Sul;SN70340;feb.64;-5,2;0,9
Verdal - Sul;SN70340;mar.64;-1,5;1,3
Verdal - Sul;SN70340;apr.64;3;1,8
Verdal - Sul;SN70340;mai.64;8,1;0,9
Verdal - Sul;SN70340;jun.64;9,7;1,7
Verdal - Sul;SN70340;jul.64;11,6;1
Verdal - Sul;SN70340;aug.64;10,4;1,3
Verdal - Sul;SN70340;sep.64;6,8;0,7
Verdal - Sul;SN70340;okt.64;4,5;0,7
Verdal - Sul;SN70340;nov.64;-1,3;0,8
Verdal - Sul;SN70340;des.64;-2,7;1,9
Verdal - Sul;SN70340;jan.65;-6,5;0,2
Verdal - Sul;SN70340;feb.65;-3,8;2,3
Verdal - Sul;SN70340;mar.65;-2,8;0
Verdal - Sul;SN70340;apr.65;3,1;1,9
Verdal - Sul;SN70340;mai.65;5,3;1,9
Verdal - Sul;SN70340;jun.65;11,3;0,1
Verdal - Sul;SN70340;jul.65;10,9;1,7
Verdal - Sul;SN70340;aug.65;10,5;1,2
Verdal - Sul;SN70340;sep.65;10;2,5
Verdal - Sul;SN70340;okt.65;4,4;0,6
Verdal - Sul;SN70340;nov.65;-4,6;2,5
Verdal - Sul;SN70340;des.65;-11,1;6,5
Verdal - Sul;SN70340;jan.66;-11,3;4,6
Verdal - Sul;SN70340;feb.66;-14,5;8,4
Verdal - Sul;SN70340;mar.66;-3,8;1
Verdal - Sul;SN70340;apr.66;-1,6;2,8
Verdal - Sul;SN70340;mai.66;6,2;1
Verdal - Sul;SN70340;jun.66;14;2,6
Verdal - Sul;SN70340;jul.66;12,2;0,4
Verdal - Sul;SN70340;aug.66;10,9;0,8
Verdal - Sul;SN70340;sep.66;6,3;1,2
Verdal - Sul;SN70340;okt.66;3,3;0,5
Verdal - Sul;SN70340;nov.66;-2;0,1
Verdal - Sul;SN70340;des.66;-3,7;0,9
Verdal - Sul;SN70340;jan.67;-9,7;3
Verdal - Sul;SN70340;feb.67;-2,7;3,4
Verdal - Sul;SN70340;mar.67;0,7;3,5
Verdal - Sul;SN70340;apr.67;0,7;0,5
Verdal - Sul;SN70340;mai.67;6,2;1
Verdal - Sul;SN70340;jun.67;9,9;1,5
Verdal - Sul;SN70340;jul.67;12,6;0
Verdal - Sul;SN70340;aug.67;12,2;0,5
Verdal - Sul;SN70340;sep.67;9,6;2,1
Verdal - Sul;SN70340;okt.67;3,3;0,5
Verdal - Sul;SN70340;nov.67;1,9;4
Verdal - Sul;SN70340;des.67;-7,6;3
Verdal - Sul;SN70340;jan.68;-7,2;0,5
Verdal - Sul;SN70340;feb.68;-5,3;0,8
Verdal - Sul;SN70340;mar.68;-1,8;1
Verdal - Sul;SN70340;apr.68;1,9;0,7
Verdal - Sul;SN70340;mai.68;4,7;2,5
Verdal - Sul;SN70340;jun.68;12,1;0,7
Verdal - Sul;SN70340;jul.68;11,7;0,9
Verdal - Sul;SN70340;aug.68;11,2;0,5
Verdal - Sul;SN70340;sep.68;8,4;0,9
Verdal - Sul;SN70340;okt.68;1,2;2,6
Verdal - Sul;SN70340;nov.68;-7,2;5,1
Verdal - Sul;SN70340;des.68;-3,7;0,9
Verdal - Sul;SN70340;jan.69;-5,5;1,2
Verdal - Sul;SN70340;feb.69;-10,3;4,2
Verdal - Sul;SN70340;mar.69;-6,1;3,3
Verdal - Sul;SN70340;apr.69;2,2;1
Verdal - Sul;SN70340;mai.69;7,1;0,1
Verdal - Sul;SN70340;jun.69;13,6;2,2
Verdal - Sul;SN70340;jul.69;13,1;0,5
Verdal - Sul;SN70340;aug.69;16,1;4,4
Verdal - Sul;SN70340;sep.69;7,1;0,4
Verdal - Sul;SN70340;okt.69;4,4;0,6
Verdal - Sul;SN70340;nov.69;-4,8;2,7
Verdal - Sul;SN70340;des.69;-6,4;1,8
Verdal - Sul;SN70340;jan.70;-9,6;2,9
Verdal - Sul;SN70340;feb.70;-12,1;6
Verdal - Sul;SN70340;mar.70;-3,4;0,6
Verdal - Sul;SN70340;apr.70;-0,4;1,6
Verdal - Sul;SN70340;mai.70;7,8;0,6
Verdal - Sul;SN70340;jun.70;14,2;2,8
Verdal - Sul;SN70340;jul.70;12,4;0,2
Verdal - Sul;SN70340;aug.70;12,5;0,8
Verdal - Sul;SN70340;sep.70;7,4;0,1
Verdal - Sul;SN70340;okt.70;3,8;0
Verdal - Sul;SN70340;nov.70;-4,3;2,2
Verdal - Sul;SN70340;des.70;-1,5;3,1
Verdal - Sul;SN70340;jan.71;-2,7;4
Verdal - Sul;SN70340;feb.71;-3,8;2,3
Verdal - Sul;SN70340;mar.71;-5,7;2,9
Verdal - Sul;SN70340;apr.71;1,2;0
Verdal - Sul;SN70340;mai.71;8;0,8
Verdal - Sul;SN70340;jun.71;10,4;1
Verdal - Sul;SN70340;jul.71;12,6;0
Verdal - Sul;SN70340;aug.71;11,7;0
Verdal - Sul;SN70340;sep.71;7,7;0,2
Verdal - Sul;SN70340;okt.71;3,3;0,5
Verdal - Sul;SN70340;nov.71;-2,7;0,6
Verdal - Sul;SN70340;des.71;0,6;5,2
Verdal - Sul;SN70340;jan.72;-9;2,3
Verdal - Sul;SN70340;feb.72;-4,7;1,4
Verdal - Sul;SN70340;mar.72;-1,1;1,7
Verdal - Sul;SN70340;apr.72;1,8;0,6
Verdal - Sul;SN70340;mai.72;7,5;0,3
Verdal - Sul;SN70340;jun.72;13,5;2,1
Verdal - Sul;SN70340;jul.72;14,8;2,2
Verdal - Sul;SN70340;aug.72;11,6;0,1
Verdal - Sul;SN70340;sep.72;6,4;1,1
Verdal - Sul;SN70340;okt.72;2,8;1
Verdal - Sul;SN70340;nov.72;-0,7;1,4
Verdal - Sul;SN70340;des.72;0,8;5,4
Verdal - Sul;SN70340;jan.73;0,8;7,5
Verdal - Sul;SN70340;feb.73;-4,4;1,7
Verdal - Sul;SN70340;mar.73;1,5;4,3
Verdal - Sul;SN70340;apr.73;0,4;0,8
Verdal - Sul;SN70340;mai.73;6,4;0,8
Verdal - Sul;SN70340;jun.73;11,7;0,3
Verdal - Sul;SN70340;jul.73;14,4;1,8
Verdal - Sul;SN70340;aug.73;10,8;0,9
Verdal - Sul;SN70340;sep.73;6,3;1,2
Verdal - Sul;SN70340;okt.73;1,6;2,2
Verdal - Sul;SN70340;nov.73;-4,1;2
Verdal - Sul;SN70340;des.73;-3,9;0,7
Verdal - Sul;SN70340;jan.74;-0,6;6,1
Verdal - Sul;SN70340;feb.74;-2,2;3,9
Verdal - Sul;SN70340;mar.74;-2,2;0,6
Verdal - Sul;SN70340;apr.74;2,7;1,5
Verdal - Sul;SN70340;mai.74;7,9;0,7
Verdal - Sul;SN70340;jun.74;11,9;0,5
Verdal - Sul;SN70340;jul.74;11,4;1,2
Verdal - Sul;SN70340;aug.74;11,6;0,1
Verdal - Sul;SN70340;sep.74;9,6;2,1
Verdal - Sul;SN70340;okt.74;1,9;1,9
Verdal - Sul;SN70340;nov.74;-3,4;1,3
Verdal - Sul;SN70340;des.74;-1,9;2,7
Verdal - Sul;SN70340;jan.75;-2,3;4,4
Verdal - Sul;SN70340;feb.75;-0,6;5,5
Verdal - Sul;SN70340;mar.75;-0,8;2
Verdal - Sul;SN70340;apr.75;0,6;0,6
Verdal - Sul;SN70340;mai.75;6,1;1,1
Verdal - Sul;SN70340;jun.75;9,3;2,1
Verdal - Sul;SN70340;jul.75;12,7;0,1
Verdal - Sul;SN70340;aug.75;12,2;0,5
Verdal - Sul;SN70340;sep.75;8,4;0,9
Verdal - Sul;SN70340;okt.75;4,4;0,6
Verdal - Sul;SN70340;nov.75;1,1;3,2
Verdal - Sul;SN70340;des.75;-1,5;3,1
Verdal - Sul;SN70340;jan.76;-6,5;0,2
Verdal - Sul;SN70340;feb.76;-3,5;2,6
Verdal - Sul;SN70340;mar.76;-4,6;1,8
Verdal - Sul;SN70340;apr.76;0,3;0,9
Verdal - Sul;SN70340;mai.76;7,5;0,3
Verdal - Sul;SN70340;jun.76;10;1,4
Verdal - Sul;SN70340;jul.76;12,6;0
Verdal - Sul;SN70340;aug.76;11,8;0,1
Verdal - Sul;SN70340;sep.76;4,6;2,9
Verdal - Sul;SN70340;okt.76;3,5;0,3
Verdal - Sul;SN70340;nov.76;-0,8;1,3
Verdal - Sul;SN70340;des.76;-8,4;3,8
Verdal - Sul;SN70340;jan.77;-9,1;2,4
Verdal - Sul;SN70340;feb.77;-9,7;3,6
Verdal - Sul;SN70340;mar.77;-0,4;2,4
Verdal - Sul;SN70340;apr.77;-1,2;2,4
Verdal - Sul;SN70340;mai.77;5,2;2
Verdal - Sul;SN70340;jun.77;9,4;2
Verdal - Sul;SN70340;jul.77;12,2;0,4
Verdal - Sul;SN70340;aug.77;11,7;0
Verdal - Sul;SN70340;sep.77;6,9;0,6
Verdal - Sul;SN70340;okt.77;5,3;1,5
Verdal - Sul;SN70340;nov.77;-0,7;1,4
Verdal - Sul;SN70340;des.77;-1;3,6
Verdal - Sul;SN70340;jan.78;-5;1,7
Verdal - Sul;SN70340;feb.78;-9,5;3,4
Verdal - Sul;SN70340;mar.78;-2,6;0,2
Verdal - Sul;SN70340;apr.78;0,3;0,9
Verdal - Sul;SN70340;mai.78;7,1;0,1
Verdal - Sul;SN70340;jun.78;12,4;1
Verdal - Sul;SN70340;jul.78;13,5;0,9
