"","species_sp","year","kingdom","phylum","class","order","family","max","range","mean","median","q10","q90","uniqlat","total","minyear","maxyear","rangeyear"
"28","Ophiopholis aculeata",1970,"Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Ophiopholidae",64.0211,0.704400000000007,63.8448388888889,63.8833,63.8656,63.8833,8,54,1906,1981,76
"29","Ophiopholis aculeata",1981,"Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Ophiopholidae",64.5833,0.866799999999991,64.38646,64.55,64.02958,64.5833,4,5,1906,1981,76
"30","Stenosemus albus",1910,"Animalia","Mollusca","Polyplacophora","Chitonida","Ischnochitonidae",63.8691,0.431100000000001,63.60434,63.5629,63.47382,63.86181,7,10,1910,1972,63
"31","Stenosemus albus",1927,"Animalia","Mollusca","Polyplacophora","Chitonida","Ischnochitonidae",65.0878,1.5115,64.0924166666667,63.83345,63.60765,64.83615,6,6,1910,1972,63
"32","Stenosemus albus",1972,"Animalia","Mollusca","Polyplacophora","Chitonida","Ischnochitonidae",63.9403,0.5,63.68113,63.66505,63.4403,63.93202,8,10,1910,1972,63
"33","Testudinalia testudinalis",1909,"Animalia","Mollusca","Gastropoda","","Lottiidae",63.9479,0.507099999999994,63.818975,63.8973,63.56043,63.9479,6,8,1909,1971,63
"34","Testudinalia testudinalis",1931,"Animalia","Mollusca","Gastropoda","","Lottiidae",63.8463,0.536900000000003,63.59062,63.5717,63.40948,63.77422,5,5,1909,1971,63
"35","Testudinalia testudinalis",1971,"Animalia","Mollusca","Gastropoda","","Lottiidae",63.8833,0.5319,63.58598,63.6125,63.39648,63.77742,5,5,1909,1971,63
"36","Velutina velutina",1910,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Velutinidae",63.9122,0.464100000000002,63.6493076923077,63.6355,63.45404,63.87956,9,13,1910,1972,63
"37","Velutina velutina",1935,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Velutinidae",64.1671,0.507000000000005,63.8373,63.8005,63.6601,64.05974,4,5,1910,1972,63
"38","Velutina velutina",1971,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Velutinidae",63.8925,0.445799999999998,63.7024615384615,63.6589,63.456,63.8833,11,13,1910,1972,63
"39","Velutina velutina",1972,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Velutinidae",64.4611,1.0116,63.74329375,63.6854,63.5749,63.88795,13,16,1910,1972,63
